date,0,1,2,3,4,5,6,residuals_96,residuals_192,residuals_336,residuals_720,OT
1990/1/1 0:00,0.7855,1.611,0.861698,0.634196,0.211242,0.006838,0.525486,-0.060688872658721,-0.0598148390746108,-0.0592681785672022,-0.0569030836212089,0.593
1990/1/2 0:00,0.7818,1.61,0.861104,0.633513,0.211242,0.006863,0.523972,0.0012136661991071,0.0012182173738414,0.0012050601035498,0.0012845755889177,0.594
1990/1/3 0:00,0.7867,1.6293,0.86103,0.648508,0.211242,0.006975,0.526316,0.003518067620964,0.0035227555322511,0.003509452022127,0.0035923975297051,0.5973
1990/1/4 0:00,0.786,1.637,0.862069,0.650618,0.211242,0.006953,0.523834,-9.646228503989997e-05,-9.232007177739644e-05,-0.0001044896545843,-3.13971790643075e-05,0.597
1990/1/5 0:00,0.7849,1.653,0.861995,0.656254,0.211242,0.00694,0.527426,0.0016941546273383,0.0016982535482834,0.0016865377532743,0.0017556882776784,0.5985
1990/1/6 0:00,0.7866,1.6537,0.86103,0.654879,0.211242,0.006887,0.526177,0.0057075845661678,0.0057110581174159,0.0056993631292913,0.0057623097449098,0.604
1990/1/7 0:00,0.7886,1.662,0.862887,0.661157,0.211242,0.006885,0.527565,0.0032275534648892,0.0032311571315937,0.0032193212924406,0.0032831846183103,0.607
1990/1/8 0:00,0.791,1.6568,0.864304,0.659631,0.211242,0.006878,0.527565,0.0016282864190829,0.0016317070414615,0.0016203371657629,0.0016784707678418,0.6084
1990/1/9 0:00,0.7939,1.6695,0.86423,0.66912,0.211242,0.006878,0.528123,0.0033305409522258,0.0033341435945323,0.0033224907103678,0.0033834275405539,0.6115
1990/1/10 0:00,0.7894,1.657,0.858369,0.659413,0.211242,0.006874,0.528123,-0.0022760652477544,-0.0022727139727739,-0.0022830839162621,-0.0022335529587036,0.609
1990/1/11 0:00,0.7917,1.6495,0.859107,0.663702,0.211242,0.006873,0.529381,0.0032417129981958,0.0032452108457901,0.0032340546460433,0.0032919701518561,0.612
1990/1/12 0:00,0.7941,1.6445,0.853752,0.658545,0.211242,0.006844,0.529101,0.0022384396358416,0.0022422452891578,0.0022321038776361,0.0022845557675836,0.614
